,created_at,text
47,Sat Dec 05 19:11:31 +0000 2015,"RT @avadhaar: சென்னையில் நல்ல நிலையில் இயங்கும்
ATM பற்றிய விபரம்
#ChennaiFloods #ChennaiRainsHelp #chennairain 
https://t.co/k5JYajAadW"
48,Sat Dec 05 19:11:32 +0000 2015,RT @sathiasivakumar: #jayafail #ChennaiFloods  #ChennaiRainsHelp https://t.co/5H8XLgSy7V
49,Sat Dec 05 19:11:33 +0000 2015,RT @pisaasu: atlast the team #ChennaiRainsHelp #ChennaiFloods https://t.co/8gZAXqygYh
50,Sat Dec 05 19:11:35 +0000 2015,RT @isai_: #ChennaiVolunteer #ChennaiRainsHelp 🙏 https://t.co/nryNTjUEW3
51,Sat Dec 05 19:11:39 +0000 2015,RT @dna: #ChennaiFloods : All public and private sector banks to remain open on Sunday https://t.co/K5mVnS6c6C https://t.co/u8BFeuQZsT
52,Sat Dec 05 19:11:39 +0000 2015,"RT @airnewsalerts: PM announces an ex-gratia of Rs. 2 Lakh each to families of those who lost their lives due to flood in #TamilNadu.

#Che…"
53,Sat Dec 05 19:11:41 +0000 2015,RT @_Sangeethaa_: but please get an advise from a medical officer before doing this.. https://t.co/nEa25ndykj
54,Sat Dec 05 19:11:42 +0000 2015,"RT @KollywudCinema: களப்பணியில் @Prasanna_actor @vp_offl 

Hats off to your work #ChennaiRainsHelp #ChennaiMicro #ChennaiFloods https://t.c…"
55,Sat Dec 05 19:11:43 +0000 2015,#ChennaiFloods #lesson #Help https://t.co/pCXWLrpbM4
56,Sat Dec 05 19:11:44 +0000 2015,"RT @KOLLYupdates: #ChennaiFloods great job guys @dhanushkraja @DhivyaDharshini @aditi1231 Provided Foods,buscuits,Waters to the needy https…"
57,Sat Dec 05 19:11:45 +0000 2015,"RT @MahaveerM_: Jain Bhavan,Sowcarpet,Chennai Cooking Food NonStop 4m Past 72Hrs 2 Feed Citizens #ChennaiFloods Wid 100s Volunteers https:/…"
58,Sat Dec 05 19:11:48 +0000 2015,"RT @BhaskarNh: @goonerblues Chennai and Bangalore messed it up with Kaveri issue. And now, bulk of assistance to #ChennaiFloods has come fr…"
59,Sat Dec 05 19:11:55 +0000 2015,Chennai floods: Video shows desperate attempts to flee... https://t.co/OsoeFuMnSU #chennaifloods
60,Sat Dec 05 19:11:56 +0000 2015,"RT @SandeepWeb: Reminder #8897643. Next will be the last. 

https://t.co/VCAMkpxwib"
61,Sat Dec 05 19:11:56 +0000 2015,RT @_Sangeethaa_: but please get an advise from a medical officer before doing this.. https://t.co/nEa25ndykj
62,Sat Dec 05 19:11:56 +0000 2015,"RT @kavitha129: This might be helpful if works
#ChennaiFloods https://t.co/kQYsmOXOzd"
63,Sat Dec 05 19:11:57 +0000 2015,RT @faslan_ll: @Sibi_Sathyaraj #ChennaiRescue  https://t.co/UdU6sa78d4
64,Sat Dec 05 19:12:02 +0000 2015,RT @ArchanaArchuu: அவசரமாக இரத்தம் தேவை Egmore Children's Hospital needs blood  A+ B+ O+ &amp; WBC to save 70 infants.Call 9566130683 https://t…
65,Sat Dec 05 19:12:05 +0000 2015,RT @AgentSaffron: Then you have 'Indians' like these.. #ChennaiFloods https://t.co/40ryZycabW
66,Sat Dec 05 19:12:06 +0000 2015,RT @HospitalsApollo: Chennai citizens - For Free Doctor consultation call: 18605000101 #AskApollo #ChennaiFloods
67,Sat Dec 05 19:12:07 +0000 2015,"RT @NewsX: #ChennaiFloods: An ex-gratia relief of Rs. 50,000 has also been sanctioned from PMNRF for those who were seriously injured in th…"
68,Sat Dec 05 19:12:08 +0000 2015,#ChennaiFloods #ChennaiMicro https://t.co/VwaFh8YMZA
69,Sat Dec 05 19:12:09 +0000 2015,Kudos to all volunteers who didn't wait for the Govt to do its job. https://t.co/LInKvNwBnY
70,Sat Dec 05 19:12:10 +0000 2015,"RT @TheHindu: #AIADMK vows to take action against partymen harassing volunteers #ChennaiFloods
https://t.co/pQvK1Hweo3 https://t.co/yXRyeeW…"
71,Sat Dec 05 19:12:10 +0000 2015,RT @ganant: AIADMK govt gets hot under the collar after Kamal Hasan criticices flood relief. https://t.co/cuyOYiDKko #ChennaiFloods
